id;host_id;host_name;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm
1017614;5600580;Renato;Arenella;4.084.784;1.422.844;Entire home/apt;$109,00;2;49;22/07/2023;0.39;1;304;15
1042519;5739471;Manuela;Porto;4.084.549;142.568;Entire home/apt;$80,00;3;280;5/09/2023;2.22;3;246;27
1053298;5739471;Manuela;Zona Industriale;408.528;1.426.775;Entire home/apt;$100,00;3;227;5/08/2023;1.79;3;217;20
1081426;5947692;Marco;Chiaia;408.367;1.423.655;Entire home/apt;$91,00;1;131;16/10/2017;1.05;1;134;0
1109523;2193590;Simone;San Lorenzo;4.085.088;1.425.502;Private room;$75,00;3;173;11/08/2023;1.4;1;70;21
1136691;5965834;Gianni;Pendino;4.085.111;1.425.922;Private room;$36,00;1;357;1/07/2023;2.86;3;0;5
1145935;6283433;Daniela;San Lorenzo;4.085.025;1.425.562;Entire home/apt;$140,00;2;35;14/05/2018;0.28;1;358;0
1158631;2298516;Lucio & Clara Pia;Montecalvario;408.435;1.424.476;Private room;$80,00;2;29;20/09/2019;0.23;5;0;0
1165052;6379451;Dario;Porto;4.084.455;142.567;Entire home/apt;$119,00;4;280;10/08/2023;2.24;3;124;35
1200059;2858275;Roberta;Posillipo;4.080.265;1.419.283;Entire home/apt;$100,00;2;12;17/03/2023;0.12;4;169;2
1202148;6566657;Stefania;San Carlo all'Arena;4.086.335;142.603;Entire home/apt;$66,00;2;276;1/09/2023;2.23;2;336;26
1202881;6570401;Véronique;Pendino;4.085.127;1.425.946;Entire home/apt;$60,00;6;295;30/08/2023;2.43;1;263;15
1214989;3508548;Marechiarocasa;Chiaia;4.083.458;1.423.108;Entire home/apt;$75,00;3;1;4/06/2017;0.01;6;349;0
1216299;1446354;Margherita;San Lorenzo;4.085.206;1.426.617;Hotel room;$137,00;1;1;13/11/2016;0.01;7;45;0
1218754;2690298;Valeria;San Ferdinando;4.083.727;1.425.134;Entire home/apt;$200,00;2;18;2/11/2017;0.16;1;130;0
1219831;6654008;Giancarlo;Pendino;408.488;1.425.745;Entire home/apt;$80,00;2;66;22/06/2023;0.54;1;315;4
1220098;6655754;Valeria;Arenella;4.084.873;1.423.358;Hotel room;$119,00;1;4;21/06/2022;0.08;1;50;0
1226598;6691087;Francesca;San Lorenzo;4.085.087;1.425.865;Entire home/apt;$179,00;3;42;31/07/2023;0.37;1;320;17
1266358;10101022;Paola;Chiaia;408.358;1.422.076;Entire home/apt;$70,00;3;149;8/09/2023;1.23;1;240;7
1296488;7049229;Michele;Porto;4.084.771;1.425.502;Entire home/apt;$90,00;3;257;9/09/2023;2.08;1;329;30
1307453;7107665;Vincenzo;Arenella;4.085.485;142.365;Entire home/apt;$51,00;4;28;29/08/2023;0.26;3;224;11
1350231;154638;Simona;San Carlo all'Arena;4.085.697;1.425.859;Entire home/apt;$70,00;1;24;14/05/2023;0.23;2;0;1
1356994;7366924;Massimo;Vomero;4.084.716.977.405.020;14.223.133.469.377.500;Private room;$82,00;1;0;;;7;268;0
1369241;7425845;Annarita;Fuorigrotta;4.082.267;1.419.361;Entire home/apt;$45,00;1;115;7/08/2023;0.93;4;280;11
1383528;7490413;Francesco;Pendino;408.503;1.426.218;Private room;$35,00;3;328;12/09/2023;2.65;3;60;41
1383636;7490413;Francesco;San Lorenzo;4.085.144;1.426.382;Private room;$35,00;3;185;13/09/2023;1.5;3;69;42
1409155;7585794;Margherita;Chiaia;4.082.492;1.421.762;Private room;$159,00;1;13;20/08/2023;0.2;1;112;5
1420886;5274768;Giovanni;San Giuseppe;4.084.147;142.502;Private room;$71,00;1;163;30/08/2023;2.49;2;73;62
1424804;7590448;Corrado;Chiaia;4.083.184;1.422.317;Entire home/apt;$100,00;6;58;10/04/2023;0.59;1;237;5
1432863;7701034;Dario;Mercato;4.085.103;1.427.032;Entire home/apt;$245,00;2;54;18/06/2022;0.47;2;138;0
1479180;7490413;Francesco;San Lorenzo;4.085.116;1.426.427;Private room;$35,00;3;316;5/09/2023;2.57;3;65;44
1499546;3164746;Vincenzo;San Lorenzo;4.085.079;1.425.818;Private room;$45,00;1000;320;1/03/2020;2.62;3;365;0
1508974;8060211;Carla;Vomero;4.084.735;1.423.242;Entire home/apt;$80,00;5;124;19/07/2023;1.05;1;6;9
1509485;8062604;Irene;San Ferdinando;4.083.582;1.424.666;Entire home/apt;$99,00;1;110;9/09/2023;0.93;2;359;34
1594430;8504224;Antonio;Pendino;4.084.885;1.426.237;Entire home/apt;$50,00;10;47;17/12/2021;0.48;4;177;0
1596150;8510907;Anna;Porto;4.084.694;1.425.584;Private room;$40,00;2;190;9/09/2023;1.59;1;26;10
1632213;1446354;Margherita;San Lorenzo;4.085.206;1.426.617;Shared room;$20,00;1;77;21/03/2023;0.66;7;11;2
1662234;8807547;Flaminia;San Ferdinando;4.083.886;1.424.603;Entire home/apt;$183,00;1;504;11/09/2023;4.28;1;278;86
1697521;8964657;Dario;San Lorenzo;4.085.843;1.426.251;Entire home/apt;$56,00;1;211;12/09/2023;1.76;1;247;47
1727463;9103457;Giuseppe;San Giuseppe;4.084.793;1.424.978;Entire home/apt;$69,00;2;342;29/08/2023;3.2;1;257;49
1731430;9121887;Daniela;Stella;4.085.471;1.424.626;Private room;$72,00;2;267;7/09/2023;2.36;4;324;27
1743313;9177668;Adriana;Vomero;4.084.459;1.422.917;Entire home/apt;$120,00;3;53;21/11/2021;0.44;1;0;0
1745867;9188919;Antonietta;Porto;40.847;1.425.694;Entire home/apt;$80,00;3;71;10/09/2023;0.59;1;339;12
1763332;9268114;Daniela;Avvocata;4.085.378;1.423.931;Entire home/apt;$55,00;3;99;29/10/2022;1;1;0;2
1805251;3360063;Claudio Boca;Porto;4.084.524;1.425.545;Entire home/apt;$83,00;2;348;31/08/2023;4.04;2;325;57
1808056;4382180;Annamaria;Montecalvario;4.084.285;1.424.725;Entire home/apt;$91,00;6;54;7/09/2023;0.5;3;80;1
1813196;7159267;Bianca;Avvocata;4.085.023;1.424.652;Private room;$30,00;2;341;9/09/2023;2.99;2;303;53
1823627;7159267;Bianca;Avvocata;4.085.023;1.424.652;Private room;$60,00;2;185;1/09/2023;1.56;2;337;38
1858020;4188665;Giusi;San Giuseppe;4.084.733;1.425.113;Entire home/apt;$74,00;2;49;21/05/2023;0.54;1;292;2
1876038;9768546;Adriano & Rich;San Giuseppe;4.084.907;1.425.129;Private room;$246,00;1;35;21/11/2022;0.31;13;35;1
1907394;9811561;Alessandra;Bagnoli;4.081.628;1.416.142;Entire home/apt;$80,00;2;6;5/05/2023;0.05;1;365;3
1938476;10007952;Milly;Stella;4.085.539;142.549;Entire home/apt;$89,00;3;78;3/07/2023;0.66;3;344;16
1943094;10028635;Valentina;Vomero;4.084.159;142.303;Private room;$75,00;1;80;19/08/2023;0.7;1;354;31
1954081;6893585;Zelda;San Giuseppe;4.084.381;1.424.917;Entire home/apt;$80,00;3;217;5/09/2023;1.84;1;284;19
1957529;10118084;Anna;Posillipo;40.804;1.419.508;Entire home/apt;$188,00;2;19;6/08/2023;0.2;4;164;5
1980325;10220002;Ilaria;Vomero;4.084.724;1.422.581;Entire home/apt;$85,00;1;127;28/08/2023;1.11;1;88;7
2009977;1564850;Sergio;Pendino;4.085.069;1.425.984;Entire home/apt;$89,00;3;159;10/09/2023;1.34;2;325;40
2018660;10379784;Claudia;San Ferdinando;4.083.396;1.424.409;Entire home/apt;$100,00;2;112;2/08/2021;0.98;1;273;0
2103823;10331282;Anna;Vomero;4.084.169;1.423.736;Entire home/apt;$100,00;3;91;15/08/2023;0.77;1;41;2
2107600;10745068;Dario;Porto;4.084.327;142.563;Entire home/apt;$80,00;3;180;9/09/2023;1.57;1;199;23
2128658;9819514;Carmela;Avvocata;40.850.243;14.249.344;Entire home/apt;$95,00;3;60;9/09/2023;0.53;1;280;14
2139538;1117036;Giuseppe;Chiaia;4.083.676;1.424.302;Entire home/apt;$45,00;2;62;15/06/2023;0.6;2;273;3
2140338;10248048;Qiong;Montecalvario;40.847.007.751.464.800;14.247.672.080.993.600;Entire home/apt;$135,00;3;221;30/08/2020;1.93;2;273;0
2163438;9091174;Alessandra;San Lorenzo;4.085.566;1.426.456;Entire home/apt;$89,00;2;7;21/12/2019;0.06;2;0;0
2173635;7661609;Francesco;Posillipo;4.080.613;1.420.087;Entire home/apt;$211,00;2;123;7/09/2023;1.48;1;327;21
2240415;11396448;Linda;San Ferdinando;4.083.529;142.498;Entire home/apt;$264,00;3;86;7/09/2023;0.76;2;178;29
2275431;11618429;Roberto;Vomero;4.084.289;1.422.907;Entire home/apt;$95,00;2;23;30/08/2023;0.2;1;284;7
2276530;11623064;Antonio G.;San Lorenzo;4.085.853;1.426.122;Entire home/apt;$500,00;3;12;22/07/2017;0.11;2;255;0
2328606;11894955;Marilu;Avvocata;4.085.015;142.459;Entire home/apt;$78,00;2;102;9/08/2023;0.89;1;185;10
2360733;12055928;Duomo;San Lorenzo;4.085.258;1.425.911;Entire home/apt;$61,00;2;116;11/09/2023;1.01;1;107;38
2374887;10118084;Anna;Posillipo;40.804;1.419.508;Entire home/apt;$160,00;2;75;21/07/2023;0.76;4;141;4
2399402;12260418;Maurizio;Montecalvario;408.453;1.424.894;Private room;$93,00;7;0;;;1;0;0
2402756;12280272;Chiara E Ciro;San Lorenzo;4.085.076;1.425.537;Entire home/apt;$40,00;2;300;30/08/2023;2.64;3;280;67
2412914;12332609;Giovanni;Pendino;4.084.897;1.426.392;Entire home/apt;$99,00;3;216;21/02/2020;1.97;1;0;0
2422169;3918668;Ravagnoni;San Lorenzo;4.085.109;1.425.588;Private room;$21,00;3;68;8/09/2021;0.59;2;0;0
2434080;11941791;Dima;Ponticelli;4.087.557.601.928.710;14.309.645.652.770.900;Entire home/apt;$40,00;1;159;15/08/2023;1.39;1;354;22
2444897;12500181;Mariateresa;Posillipo;408.014;1.420.514;Entire home/apt;$120,00;1;31;5/08/2023;0.27;3;345;3
2459195;21644417;Paola;Posillipo;4.081.737;1.420.937;Entire home/apt;$260,00;5;10;22/07/2019;0.09;2;81;0
2470761;12635952;Dea;San Lorenzo;4.085.802;1.426.161;Entire home/apt;$157,00;3;77;14/08/2022;0.82;4;353;0
2479933;2575857;Nino;Montecalvario;40.843.464;14.247.093;Entire home/apt;$150,00;4;82;8/07/2023;0.76;1;60;8
2519301;12897284;Marco;Porto;4.084.312;1.425.427;Entire home/apt;$180,00;2;16;3/08/2023;0.14;3;169;1
2548174;4374749;Stefano;Posillipo;4.081.464;1.420.152;Entire home/apt;$71,00;2;146;29/07/2023;1.91;1;50;22
2589578;13259146;La Controra;Avvocata;4.085.327;1.424.129;Shared room;$16,00;1;30;14/03/2023;0.26;3;237;8
2605326;13342595;Giuseppe;San Ferdinando;4.083.581;1.424.509;Entire home/apt;$40,00;7;11;23/06/2022;0.1;4;0;0
2627199;13455421;Albina;San Ferdinando;4.083.623;1.424.771;Entire home/apt;$170,00;3;44;8/08/2023;0.39;2;322;2
2643998;1259429;Caterina;Porto;4.084.152;142.524;Entire home/apt;$152,00;1;5;27/05/2017;0.04;4;12;0
2658976;13455421;Albina;San Ferdinando;4.083.637;1.424.611;Entire home/apt;$200,00;3;87;18/08/2023;0.76;2;315;9
2661302;13342595;Giuseppe;San Ferdinando;4.083.583;1.424.722;Entire home/apt;$47,00;7;97;19/10/2021;0.89;4;0;0
2682531;1326888;Paola;Mercato;4.085.052;1.427.054;Private room;$55,00;3;95;28/07/2023;0.86;3;164;20
2689233;3508548;Marechiarocasa;Chiaia;4.083.592;1.423.071;Entire home/apt;$80,00;2;6;11/04/2023;0.05;6;347;2
2704177;6889748;Micaela;San Lorenzo;4.085.802;1.426.741;Entire home/apt;$77,00;2;218;1/08/2023;1.91;1;54;22
2709774;13675400;Imma&Gianluca;San Lorenzo;4.085.503;1.425.669;Private room;$45,00;2;109;9/02/2019;1.11;1;0;0
2732933;13986099;Ludovica;Stella;4.085.639;1.425.071;Entire home/apt;$47,00;1;31;19/08/2017;0.27;3;0;0
2759440;13259146;La Controra;Avvocata;4.085.176;1.423.896;Private room;$113,00;1;1;9/07/2023;0.45;3;224;1
